_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude
3185173,0545R00393000000,"426 MIDDLE AVE, WILMERDING, PA 15148",426, ,,MIDDLE,AVE,,,WILMERDING,PA,15148,14,East Allegheny,867,Wilmerding  ,2024-10-29,2024-10-11,75000.0,19846,167.0,35,CORPORATION TRANSFER,DE,DEED,40.396118,-79.807301
3185174,0480R00409000000,"1663 HASTINGS PARK DR, BRIDGEVILLE, PA 15017",1663, ,,HASTINGS PARK,DR,,,BRIDGEVILLE,PA,15017,36,South Fayette Twp,946,South Fayette  ,2024-10-31,2024-10-28,836650.0,19848,521.0,16,BUILDING NOT YET ASSESSED,DE,DEED,40.326117,-80.107395
3185175,0041R00017000000,"1212 HOLLYWOOD ST, PITTSBURGH, PA 15205",1212, ,,HOLLYWOOD,ST,,,PITTSBURGH,PA,15205,47,Pittsburgh,128,28th Ward - PITTSBURGH,2024-10-31,2024-10-28,138000.0,19848,550.0,0,VALID SALE,DE,DEED,40.44334,-80.05532
3185176,0247N00002000000,"4607 CLUBVUE DR, PITTSBURGH, PA 15236",4607, ,,CLUBVUE,DR,,,PITTSBURGH,PA,15236,4,Baldwin Whitehall,874,Whitehall  ,2024-03-06,2024-02-22,349000.0,19592,152.0,0,VALID SALE,DE,DEED,40.35618,-79.98265
3185177,0383N00207000000,"1013 BURBANK RD, MC KEESPORT, PA 15133",1013, ,,BURBANK,RD,,,MC KEESPORT,PA,15133,35,South Allegheny,848,Port Vue  ,2024-03-06,2024-03-01,135500.0,19592,159.0,9,OTHER INVALID SALES INDICATED,DE,DEED,40.33743,-79.882353
3185178,0547M00059000000,"1116 LINCOLN HWY, NORTH VERSAILLES, PA 15137",1116, ,,LINCOLN,HWY,,,NORTH VERSAILLES,PA,15137,14,East Allegheny,930,North Versailles  ,2024-01-08,2024-01-05,300000.0,19543,566.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.377417,-79.802458
3185179,0238N00350000000,"218 ROBERTS ST, WEST MIFFLIN, PA 15122",218, ,,ROBERTS,ST,,,WEST MIFFLIN,PA,15122,45,West Mifflin Area,870,West Mifflin  ,2024-01-11,2024-01-08,150000.0,19547,294.0,0,VALID SALE,DE,DEED,40.386163,-79.882531
3185180,0280A00213000000,"127 GLENMORE AVE, PITTSBURGH, PA 15229",127, ,,GLENMORE,AVE,,,PITTSBURGH,PA,15229,28,North Hills,864,West View  ,2024-01-11,2024-01-08,1.0,19548,142.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.51897,-80.0298
3185181,1654E00002000000,"830 MARKMAN PARK RD, BADEN, PA 15005",830, ,,MARKMAN PARK,RD,,,BADEN,PA,15005,27,North Allegheny,923,Marshall  ,2024-01-11,2024-01-05,475000.0,19548,212.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.63441,-80.12986
3185182,0159C00112000000,"115 S BIRMINGHAM AVE, PITTSBURGH, PA 15202",115, ,S,BIRMINGHAM,AVE,,,PITTSBURGH,PA,15202,29,Northgate,802,Avalon  ,2024-01-11,2024-01-09,405000.0,19548,225.0,35,CORPORATION TRANSFER,DE,DEED,40.49962,-80.07105
3185183,0879C00115000000,"632 LARGE AVE, CLAIRTON, PA 15025",632, ,,LARGE,AVE,,,CLAIRTON,PA,15025,10,Clairton City,202,2nd Ward - CLAIRTON,2024-01-16,2024-01-09,1.0,19549,452.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.29505,-79.88824
3185184,0119S00098000A00,"5417 DRESDEN WAY, PITTSBURGH, PA 15201",5417, ,,DRESDEN,WAY,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-01-10,2024-01-03,1.0,19546,512.0,H,MULTI-PARCEL SALE,DE,DEED,40.48297,-79.95034
3185185,1002D00128000000,"522 FARNSWORTH AVE, CLAIRTON, PA 15025",522, ,,FARNSWORTH,AVE,,,CLAIRTON,PA,15025,10,Clairton City,202,2nd Ward - CLAIRTON,2024-01-23,2024-01-17,3442531.0,19556,533.0,H,MULTI-PARCEL SALE,DE,DEED,40.285167,-79.886346
3185186,1001E00111000000,"928 MILLER AVE, CLAIRTON, PA 15025",928, ,,MILLER,AVE,,,CLAIRTON,PA,15025,10,Clairton City,202,2nd Ward - CLAIRTON,2024-01-23,2024-01-17,3442531.0,19556,533.0,H,MULTI-PARCEL SALE,DE,DEED,40.284034,-79.882091
3185187,0850K00102000000,"1458 GREENDALE DR, PITTSBURGH, PA 15239",1458, ,,GREENDALE,DR,,,PITTSBURGH,PA,15239,31,Plum Boro,880,Plum  ,2024-01-25,2024-01-20,0.0,19559,90.0,3,LOVE AND AFFECTION SALE,SW,SPECIAL WARRANTY,40.49597,-79.76164
3185188,0001C01662A00500,"320 FORT DUQUESNE BLVD, UNIT 5A, PITTSBURGH, PA 15222",320, ,,FORT DUQUESNE,BLVD,UNIT,5A,PITTSBURGH,PA,15222,47,Pittsburgh,102,2nd Ward - PITTSBURGH,2024-01-24,2024-01-08,1.0,19557,405.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.44261,-80.006874
3185189,0098N00264000000,"416 KENMONT AVE, PITTSBURGH, PA 15228",416, ,,KENMONT,AVE,,,PITTSBURGH,PA,15228,26,Mt Lebanon,926,Mt.Lebanon  ,2024-12-20,2024-12-16,1.0,19902,155.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.386154,-80.045333
3185190,0335G00112000000,"6404 STEUBENVILLE PIKE, PITTSBURGH, PA 15205",6404, ,,STEUBENVILLE,PIKE,,,PITTSBURGH,PA,15205,24,Montour,939,Robinson  ,2024-12-30,2024-12-27,2250000.0,19909,10.0,35,CORPORATION TRANSFER,DE,DEED,40.449779,-80.157233
3185191,0563G00205000000,"126 FOXHOUND DR, CLAIRTON, PA 15236",126, ,,FOXHOUND,DR,,,CLAIRTON,PA,15236,44,West Jefferson Hills,878,Jefferson Hills,2024-12-30,2024-12-19,459420.0,19909,184.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.322235,-79.971908
3185192,0029S00104000000,"19 FORRESTER ST, PITTSBURGH, PA 15207",19, ,,FORRESTER,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,2024-12-27,2024-12-12,1.0,19908,287.0,H,MULTI-PARCEL SALE,DE,DEED,40.42415,-79.94974
3185193,0492S00237000000,"306 WESTERN AVE, OAKDALE, PA 15071",306, ,,WESTERN,AVE,,,OAKDALE,PA,15071,43,West Allegheny,844,Oakdale  ,2024-12-30,2024-12-19,188500.0,19910,153.0,9,OTHER INVALID SALES INDICATED,DE,DEED,40.39489,-80.18727
3185194,0710M00013000000,"206 CYPRESS KNOLL DR, SEWICKLEY, PA 15143",206, ,,CYPRESS KNOLL,DR,,,SEWICKLEY,PA,15143,2,Avonworth,932,Ohio  ,2024-12-27,2024-10-17,1.0,19908,324.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.56331,-80.100698
3185195,0176H00236000000,"744 REBECCA AVE, PITTSBURGH, PA 15221",744, ,,REBECCA,AVE,,,PITTSBURGH,PA,15221,46,Wilkinsburg Boro,866,Wilkinsburg  ,2025-01-02,2024-12-27,5000.0,19913,218.0,H,MULTI-PARCEL SALE,QC,QUIT CLAIM,40.439645,-79.884706
3185196,0119S00069000B00,"5415 CARNEGIE ST, PITTSBURGH, PA 15201",5415, ,,CARNEGIE,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2025-01-02,2024-12-27,323500.0,19913,286.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.482666,-79.950151
3185197,0455D00006000000,"641 LOCUST ST, TURTLE CREEK, PA 15145",641, ,,LOCUST,ST,,,TURTLE CREEK,PA,15145,9,Woodland Hills,858,Turtle Creek  ,2025-01-03,2024-12-30,135000.0,19914,342.0,0,VALID SALE,GW,GENERAL WARRANTY,40.411658,-79.81615
3185198,0218D00050000000,"200-650 STEVENS DR, PITTSBURGH, PA 15237",200, -650,,STEVENS,DR,,,PITTSBURGH,PA,15237,28,North Hills,940,Ross  ,2025-01-08,2024-11-27,1.0,19918,75.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.509231,-80.002155
3185199,0570H00190000000,"2440 WASHINGTON RD, PITTSBURGH, PA 15241",2440, ,,WASHINGTON,RD,,,PITTSBURGH,PA,15241,42,Upper St Clair,950,Upper St. Clair  ,2025-01-08,2024-12-08,1100000.0,19918,212.0,DT,DATE OF TRANSFER (RECORD YR <> SALE YR),GW,GENERAL WARRANTY,40.32391,-80.08539
3185200,0056L00369000000,"0 ELECTRIC ST, PITTSBURGH, PA 15207",0, ,,ELECTRIC,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,2025-01-07,2024-12-31,1.0,19916,61.0,H,MULTI-PARCEL SALE,DE,DEED,40.408507,-79.937729
3185201,0024N00165000000,"820 E OHIO ST, PITTSBURGH, PA 15212",820, ,E,OHIO,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,123,23rd Ward - PITTSBURGH,2025-01-07,2024-12-13,8775000.0,19916,188.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.454681,-79.996122
3185202,0637S00040000000,"531 FIELDSTONE DR, MONROEVILLE, PA 15146",531, ,,FIELDSTONE,DR,,,MONROEVILLE,PA,15146,18,Gateway,879,Monroeville  ,2025-01-10,2024-12-18,252500.0,19919,412.0,99,CORRECTIVE DEED / DUPLICATE SALE,DE,DEED,40.445801,-79.784187
3185203,0221B00270000000,"503 LITTLE PINE CREEK RD, PITTSBURGH, PA 15223",503, ,,LITTLE PINE CREEK,RD,,,PITTSBURGH,PA,15223,34,Shaler Area,944,Shaler  ,2025-01-07,2024-12-02,12000.0,19916,495.0,1,SHERIFF SALE,SD,SHERIFF DEED,40.50908,-79.96065
3185204,0362F00226000000,"0 2ND ST, OAKMONT, PA 15139",0, ,,2ND,ST,,,OAKMONT,PA,15139,33,Riverview,845,Oakmont  ,2024-12-31,2024-12-26,360000.0,19910,458.0,H,MULTI-PARCEL SALE,DE,DEED,40.514199,-79.846358
3185205,0420R00056000000,"404 LOCUST ST, CORAOPOLIS, PA 15108",404, ,,LOCUST,ST,,,CORAOPOLIS,PA,15108,11,Cornell,817,Coraopolis  ,2025-01-16,2024-12-30,1.0,19924,314.0,3,LOVE AND AFFECTION SALE,CF,CONFIRMATORY DEED,40.521161,-80.171745
